   Nr |                      x |               math.tan |              cont_frac |            poly_approx |   err_frac |   err_poly 
 1271 |      1.443671335843660 |      7.823853191402875 |      7.823853191403865 |      7.823853191479408 |   9.90e-13 |   7.65e-11
 1272 |      1.281945364762510 |      3.365169463749061 |      3.365169463750062 |      3.365169585076162 |   1.00e-12 |   1.21e-07
 1273 |      1.218717459114318 |      2.721931638690560 |      2.721931638691559 |      2.721932351169392 |   1.00e-12 |   7.12e-07
 1274 |      0.791775901458155 |      1.012837524548564 |      1.012837524549563 |      1.013611351988715 |   9.99e-13 |   7.74e-04
 1275 |     -1.030122547262298 |     -1.665706463033704 |     -1.665706463032703 |     -1.665738662736116 |   1.00e-12 |   3.22e-05
 1276 |      0.879670349925382 |      1.208852421980148 |      1.208852421981148 |      1.209128485731986 |   1.00e-12 |   2.76e-04
 1277 |     -1.434280445202519 |     -7.279593122061708 |     -7.279593122060697 |     -7.279593122206961 |   1.01e-12 |   1.45e-10
 1278 |     -0.197756186737777 |     -0.200375079032389 |     -0.200375079031389 |     -0.200375078869474 |   1.00e-12 |   1.63e-10
 1279 |     -0.225539875397707 |     -0.229443596670898 |     -0.229443596669898 |     -0.229443595975720 |   1.00e-12 |   6.95e-10
 1280 |      0.074498070361117 |      0.074636197508049 |      0.074636197509049 |      0.074636197508046 |   1.00e-12 |   3.48e-15
 1281 |      0.158161879777333 |      0.159494026902320 |      0.159494026903320 |      0.159494026888448 |   1.00e-12 |   1.39e-11
 1282 |      0.500692994586302 |      0.547202647106644 |      0.547202647107644 |      0.547197755965227 |   1.00e-12 |   4.89e-06
 1283 |      1.396931806191589 |      5.693532763860043 |      5.693532763861037 |      5.693532765136572 |   9.94e-13 |   1.28e-09
 1284 |     -0.641176303146832 |     -0.746373807289528 |     -0.746373807288528 |     -0.746293731948518 |   1.00e-12 |   8.01e-05
 1285 |      0.957363071988980 |      1.420370752225489 |      1.420370752226489 |      1.420468415380816 |   1.00e-12 |   9.77e-05
 1286 |     -0.660888082050094 |     -0.777528903054122 |     -0.777528903053122 |     -0.777415765012860 |   1.00e-12 |   1.13e-04
